city,population_proper
"Northwest, NC",776
"Stoneville, NC",1031
"Hamlet, NC",6391
"Patetown, NC",
"Linville, NC",
"Trent Woods, NC",4164
"Lillington, NC",3581
"Leggett, NC",57
"Efland, NC",
"Forest Hills, NC",380
"Chimney Rock, NC",110
"Kenansville, NC",866
"Bryson City, NC",1452
"Hamilton, NC",382
"Rutherfordton, NC",4147
"Sedgefield, NC",
"Bethlehem, NC",
"Highlands, NC",941
"Spindale, NC",4248
"Sugar Mountain, NC",197
"Bahama, NC",
"Fort Barnwell, NC",
"Moncure, NC",
"Silver Lake, NC",
"Wade, NC",567
"Belville, NC",2094
"Black Mountain, NC",8384
"Altamahaw, NC",
"Godwin, NC",145
"Waynesville, NC",9958
"Powellsville, NC",253
"Myrtle Grove, NC",
"Salemburg, NC",427
"Almond, NC",
"Sandy Ridge, NC",
"Valhalla, NC",
"Cofield, NC",390
"Castle Hayne, NC",
"South Weldon, NC",
"Avery Creek, NC",
"Ingold, NC",
"Magnolia, NC",946
"Mount Pleasant, NC",1888
"Lansing, NC",154
"Warrensville, NC",
"Providence, NC",
"Swansboro, NC",3173
"Fountain, NC",435
"Murraysville, NC",
"Pisgah Forest, NC",
"Middleburg, NC",141
"Pinebluff, NC",1464
"Pikeville, NC",693
"Davidson, NC",12452
"Ivanhoe, NC",
"Columbus, NC",981
"Wagram, NC",801
"Mount Holly, NC",14495
"Butters, NC",
"Mountain View, NC",
"Forest City, NC",7305
"Engelhard, NC",
"Swanquarter, NC",
"Hobgood, NC",331
"Kitty Hawk, NC",3473
"Hurdle Mills, NC",
"Elizabeth City, NC",17926
"Orrum, NC",91
"Edenton, NC",4846
"Roaring Gap, NC",
"Foscoe, NC",
"Montreat, NC",783
"Chocowinity, NC",798
"West Jefferson, NC",1305
"Merrimon, NC",
"Roxboro, NC",8348
"Ernul, NC",
"Vander, NC",
"Beech Mountain, NC",321
"Seven Devils, NC",202
"High Shoals, NC",735
"Millingport, NC",
"Misenheimer, NC",674
"Maggie Valley, NC",1290
"Cooleemee, NC",966
"Stovall, NC",425
"Weddington, NC",10642
"Aulander, NC",813
"Bath, NC",249
"Elm City, NC",1354
"Oak Ridge, NC",6827
"Wesley Chapel, NC",8596
"McLeansville, NC",
"Halifax, NC",216
"Zebulon, NC",5159
"Lucama, NC",1128
"Longhurst, NC",
"West Canton, NC",
"Denton, NC",1659
"Sandyfield, NC",414
"Manns Harbor, NC",
"Pike Road, NC",
"Cove City, NC",393
"Williamston, NC",5477
"Topton, NC",
"Bermuda Run, NC",2596
"Neuse, NC",
"Balfour, NC",
"Buxton, NC",
"Old Hundred, NC",
"Granite Quarry, NC",2999
"East Flat Rock, NC",
"Rich Square, NC",884
"Haywood, NC",
"James City, NC",
"Laurinburg, NC",15473
"Red Oak, NC",3443
"Seven Springs, NC",111
"Hampstead, NC",
"Blowing Rock, NC",1288
"Swannanoa, NC",
"Ellerbe, NC",986
"Clayton, NC",20260
"Youngsville, NC",1293
"Iron Station, NC",
"Ocracoke, NC",
"Falcon, NC",273
"Winton, NC",739
"Sunset Beach, NC",3902
"McFarlan, NC",110
"Otway, NC",
"Cameron, NC",323
"Aquadale, NC",
"Summerfield, NC",11033
"Valle Crucis, NC",
"Grimesland, NC",444
"Dillsboro, NC",245
"Vann Crossroads, NC",
"Sophia, NC",
"Whiteville, NC",5509
"Lowesville, NC",
"Stanfield, NC",1488
"Dobson, NC",1590
"Kelly, NC",
"King, NC",7025
"Marshallberg, NC",
"Saint James, NC",5317
"Salisbury, NC",34001
"Enka, NC",
"Monroe, NC",34818
"Pinehurst, NC",15945
"Harrells, NC",201
"Stony Point, NC",
"Sharpsburg, NC",1995
"Marshall, NC",889
"Brightwood, NC",
"South Henderson, NC",
"Roper, NC",558
"Plain View, NC",
"Albemarle, NC",16004
"Crossnore, NC",191
"Oriental, NC",882
"Dixon, NC",
"Delco, NC",
"Belfast, NC",
"Light Oak, NC",
"Bolivia, NC",152
"Smithfield, NC",12266
"Trinity, NC",6671
"Whitnel, NC",
"Caroleen, NC",
"Mill Spring, NC",
"Gerton, NC",
"Conover, NC",8331
"Bowmore, NC",
"Carthage, NC",2438
"Alexander Mills, NC",
"Severn, NC",253
"Midway, NC",4734
"Cherokee, NC",
"Marietta, NC",176
"Franklinton, NC",2133
"Winterville, NC",9447
"Calabash, NC",2146
"Pine Hall, NC",
"Stokes, NC",
"Hickory, NC",40567
"Charlotte, NC",842051
"Bald Creek, NC",
"Walstonburg, NC",218
"Indian Beach, NC",114
"Lake Waccamaw, NC",1444
"Eureka, NC",198
"Mint Hill, NC",26236
"Coats, NC",2432
"Glenville, NC",
"Webster, NC",380
"Rodanthe, NC",
"Rowland, NC",1042
"Bell Arthur, NC",
"Stedman, NC",1063
"Newton, NC",13042
"Bonlee, NC",
"White Oak, NC",
"Rolesville, NC",6962
"Lauada, NC",
"Robersonville, NC",1414
"Cerro Gordo, NC",199
"Fruitland, NC",
"Landis, NC",3121
"Cullowhee, NC",
"Elroy, NC",
"Wilsons Mills, NC",2550
"Archer Lodge, NC",4815
"Sealevel, NC",
"Liberty, NC",2689
"Dellview, NC",
"Jefferson, NC",1551
"Harmony, NC",563
"Love Valley, NC",104
"Jamestown, NC",3814
"Deep Gap, NC",
"Elrod, NC",
"Evergreen, NC",
"Poplar Branch, NC",
"Weldon, NC",1575
"Claremont, NC",1382
"Welcome, NC",
"Raeford, NC",4998
"Grifton, NC",2661
"Boiling Springs, NC",4704
"Stantonsburg, NC",784
"Hot Springs, NC",567
"Marion, NC",7849
"Troutman, NC",2576
"Pineville, NC",8593
"Stokesdale, NC",5336
"Barker Ten Mile, NC",
"Yadkinville, NC",2926
"Bynum, NC",
"Enon, NC",
"Jarvisburg, NC",
"Rutherford College, NC",1323
"Center Hill, NC",
"Hollister, NC",
"Belvoir, NC",
"Tabor City, NC",4193
"Norman, NC",132
"Kenly, NC",1493
"Atlantic Beach, NC",1492
"Clinton, NC",8674
"Badin, NC",1968
"Spear, NC",
"Rose Hill, NC",1656
"Thomasville, NC",27030
"Julian, NC",
"Butner, NC",7702
"Windsor, NC",3769
"Jerome, NC",
"Elon, NC",10147
"Nags Head, NC",2916
"Longview, NC",4894
"Raleigh, NC",458880
"Derita, NC",
"Sanford, NC",29128
"Selma, NC",6589
"Carolina Beach, NC",6211
"Varnamtown, NC",575
"Burgaw, NC",4096
"Alarka, NC",
"Bunn, NC",359
"Asheboro, NC",26141
"Celo, NC",
"Five Points, NC",
"Bethesda, NC",
"Jaars, NC",
"Randleman, NC",4166
"Hoffman, NC",560
"Holly Springs, NC",33260
"Micaville, NC",
"Eastover, NC",3713
"West End, NC",
"China Grove, NC",4216
"Matthews, NC",31495
"Cedar Rock, NC",293
"Cove Creek, NC",
"Laurel Park, NC",2317
"Wakulla, NC",
"Henrietta, NC",
"Calypso, NC",546
"Havelock, NC",20244
"Mesic, NC",211
"Glen Alpine, NC",1500
"Manteo, NC",1407
"River Bend, NC",3128
"Seaboard, NC",573
"Locust, NC",3066
"Woodfin, NC",6383
"Scotland Neck, NC",1937
"Pilot Mountain, NC",1444
"Rural Hall, NC",3158
"Wallburg, NC",3082
"Bolton, NC",660
"Flat Rock, NC",3311
"Hatteras, NC",
"Rocky Mount, NC",55466
"Concord, NC",89891
"Tryon, NC",1621
"Kill Devil Hills, NC",7121
"Rockfish, NC",
"Coleridge, NC",
"Bent Creek, NC",
"Hendersonville, NC",13840
"Fletcher, NC",8079
"Duck, NC",384
"Carolina Shores, NC",4012
"Newton Grove, NC",566
"Valdese, NC",4477
"Wilkesboro, NC",3554
"Lawndale, NC",592
"Crowders, NC",
"Farmington, NC",
"Mount Gilead, NC",1171
"New Hope, NC",
"Angier, NC",5096
"Raynham, NC",72
"Holly Ridge, NC",2255
"Belhaven, NC",1588
"Hazelwood, NC",
"Boardman, NC",157
"Garysburg, NC",956
"Barker Heights, NC",
"Fairmont, NC",2678
"Staley, NC",394
"Glendale Springs, NC",
"Hallsboro, NC",
"Rockwell, NC",2144
"Price, NC",
"Murphy, NC",1645
"Southern Shores, NC",2890
"Addie, NC",
"Fremont, NC",1276
"Raemon, NC",
"Sylva, NC",2644
"Drexel, NC",1872
"Tramway, NC",
"Mebane, NC",14117
"Fairplains, NC",
"Mooresboro, NC",309
"Lilesville, NC",501
"Black Creek, NC",763
"West Smithfield, NC",
"Wise, NC",
"Stumpy Point, NC",
"Ogden, NC",
"Bonnetsville, NC",
"Lewiston Woodville, NC",494
"Autryville, NC",198
"Boone, NC",18834
"Caswell Beach, NC",429
"Germanton, NC",
"Kannapolis, NC",47839
"Sedalia, NC",664
"Leland, NC",18843
"Luck, NC",
"Peachland, NC",411
"Vanceboro, NC",995
"Salvo, NC",
"Goldsboro, NC",35792
"Chapel Hill, NC",59246
"Cajahs Mountain, NC",2758
"Wadesboro, NC",5467
"Glenwood, NC",
"Maysville, NC",978
"Speed, NC",77
"Cape Carteret, NC",2068
"Hickory Grove, NC",
"Chadbourn, NC",1769
"New London, NC",599
"Connelly Springs, NC",1634
"Burnsville, NC",1656
"Wilson, NC",49620
"Biscoe, NC",1679
"Pamlico Beach, NC",
"Taylortown, NC",819
"Collettsville, NC",
"Cramerton, NC",4420
"Southport, NC",3625
"Fairfield Harbour, NC",
"Henderson, NC",15166
"Creswell, NC",257
"Dunn, NC",9873
"Forest Oaks, NC",
"Foxfire, NC",998
"Bladenboro, NC",1692
"Olivia, NC",
"Yadkin Valley, NC",
"Kings Grant, NC",
"Whittier, NC",
"Pembroke, NC",3009
"Culberson, NC",
"Broad Creek, NC",
"Dublin, NC",326
"Lexington, NC",19105
"Stanleyville, NC",
"Yanceyville, NC",1996
"Newport, NC",4684
"Icard, NC",
"Paw Creek, NC",
"Gloucester, NC",
"Alliance, NC",766
"Alamance, NC",997
"Maury, NC",
"Washington, NC",9801
"Newland, NC",684
"Winfall, NC",601
"Warrenton, NC",852
"Greenevers, NC",644
"Rex, NC",
"Jupiter, NC",
"Robbinsville, NC",597
"Knightdale, NC",14794
"Dortches, NC",936
"Broadway, NC",1242
"White Plains, NC",
"Boger City, NC",
"Camden, NC",
"Pelham, NC",
"Whitakers, NC",722
"Jackson, NC",472
"Sparta, NC",1727
"Clarkton, NC",799
"Brevard, NC",7822
"Brogden, NC",
"State Road, NC",
"Fontana Village, NC",
"Mount Airy, NC",10347
"McAdenville, NC",665
"Linden, NC",134
"Enochville, NC",
"Brunswick, NC",990
"Taylorsville, NC",2100
"Brookford, NC",374
"Farmville, NC",4746
"Bakersville, NC",449
"Aurora, NC",517
"Hobucken, NC",
"Coinjock, NC",
"Moyock, NC",
"Creedmoor, NC",4498
"Beaufort, NC",4199
"Shiloh, NC",
"Rockford, NC",
"Hays, NC",
"Pinnacle, NC",
"Kittrell, NC",163
"Gibsonville, NC",7029
"Stonewall, NC",270
"Statesville, NC",26506
"Seagrove, NC",229
"Candor, NC",832
"West Marion, NC",
"Lake Park, NC",3756
"Askewville, NC",229
"Dana, NC",
"Emerald Isle, NC",3704
"Bridgeton, NC",435
"Buies Creek, NC",
"McDonald, NC",113
"Sugar Grove, NC",
"Salter Path, NC",
"Whispering Pines, NC",3285
"Laboratory, NC",
"McGrady, NC",
"Cornelius, NC",28515
"Aberdeen, NC",7502
"Harkers Island, NC",
"Vaughan, NC",
"La Grange, NC",2682
"Pine Level, NC",1888
"Roxobel, NC",220
"Boiling Spring Lakes, NC",5930
"Lenoir, NC",17973
"Mills River, NC",7168
"Spiveys Corner, NC",
"Skippers Corner, NC",
"Ledbetter, NC",
"Ledger, NC",
"Clyde, NC",1263
"Crouse, NC",
"Lake Toxaway, NC",
"Wentworth, NC",2748
"Bethel, NC",1620
"Cary, NC",162320
"Mayodan, NC",2450
"Gibson, NC",515
"Saluda, NC",706
"Shallotte, NC",3970
"Robbins, NC",1180
"East Bend, NC",595
"Spencer, NC",3308
"Littleton, NC",625
"Neuse Forest, NC",
"Hiwassee, NC",
"North Topsail Beach, NC",734
"Louisburg, NC",3553
"Cedar Mountain, NC",
"Benson, NC",3697
"Peletier, NC",647
"Stallings, NC",15378
"Princeton, NC",1307
"Walnut Cove, NC",1383
"Horse Shoe, NC",
"Half Moon, NC",
"Roseboro, NC",1180
"Fair Bluff, NC",905
"Tar Heel, NC",143
"Elk Park, NC",441
"Wrightsboro, NC",
"Fayetteville, NC",204759
"Ashley Heights, NC",
"Centerville, NC",92
"Wendell, NC",6745
"Green Level, NC",2173
"Northlakes, NC",
"Wallace, NC",3938
"Brasstown, NC",
"Conway, NC",756
"Tuxedo, NC",
"East Arcadia, NC",467
"Garner, NC",28776
"Battleboro, NC",
"Salem, NC",
"Scaly Mountain, NC",
"Cliffside, NC",
"Cleveland, NC",878
"Wingate, NC",3915
"Palmyra, NC",
"Shannon, NC",
"Lattimore, NC",459
"Parmele, NC",262
"Bogue, NC",697
"Middlesex, NC",825
"Cumberland, NC",
"Kinston, NC",20923
"Piney Green, NC",
"Spring Hope, NC",1314
"Morganton, NC",16665
"Atkinson, NC",337
"Cordova, NC",
"Ramseur, NC",1710
"Southern Pines, NC",13782
"Lowell, NC",3698
"Potters Hill, NC",
"Sandy Creek, NC",269
"Bald Head Island, NC",175
"Nashville, NC",5528
"Red Springs, NC",3419
"Harrisburg, NC",15349
"Fairview, NC",3708
"Topsail Beach, NC",419
"Waves, NC",
"Oxford, NC",8830
"Minnesott Beach, NC",431
"River Road, NC",
"Beulaville, NC",1323
"Faith, NC",800
"Gastonia, NC",75536
"Old Fort, NC",910
"Sea Breeze, NC",
"Hemby Bridge, NC",1712
"Mountain Home, NC",
"Brices Creek, NC",
"Belwood, NC",932
"Reidsville, NC",13977
"Grover, NC",706
"South Wadesboro, NC",
"Bonnie Doone, NC",
"Delway, NC",
"Mamers, NC",
"Kilkenny, NC",
"Weeksville, NC",
"Gates, NC",
"Weaverville, NC",3981
"Bayboro, NC",1242
"Point Harbor, NC",
"Graham, NC",14707
"Bellemont, NC",
"Unionville, NC",6585
"Pinetops, NC",1303
"Mount Olive, NC",4740
"Gorman, NC",
"North Wilkesboro, NC",4235
"Lake Santeetlah, NC",43
"Pumpkin Center, NC",
"Southmont, NC",
"Fearrington Village, NC",
"Fuquay-Varina, NC",25865
"South Gastonia, NC",
"Barco, NC",
"Kingstown, NC",677
"Haw River, NC",2445
"Woodland, NC",729
"Lumberton, NC",21499
"Abbottsburg, NC",
"Indian Trail, NC",38222
"Whitsett, NC",614
"Enfield, NC",2399
"Tyro, NC",
"Woodleaf, NC",
"Catawba, NC",624
"Cashiers, NC",
"Timberlake, NC",
"Archdale, NC",11631
"Teachey, NC",432
"Parkton, NC",437
"Grandy, NC",
"Sneads Ferry, NC",
"Spruce Pine, NC",2103
"Cherryville, NC",6058
"Winston-Salem, NC",242203
"Micro, NC",499
"Hightsville, NC",
"Lumber Bridge, NC",92
"Bannertown, NC",
"Canton, NC",4252
"Walnut Creek, NC",863
"Waxhaw, NC",14194
"Belmont, NC",10784
"Troy, NC",3414
"Durham, NC",263016
"Laxon, NC",
"Skyland, NC",
"Gulf, NC",
"Rocky Point, NC",
"Hookerton, NC",398
"Grantsboro, NC",658
"Woodlawn, NC",
"Walnut, NC",
"Hillsborough, NC",6568
"White Lake, NC",772
"Hassell, NC",81
"Clemmons, NC",20079
"Rennert, NC",376
"Murfreesboro, NC",3023
"Richlands, NC",1678
"Hiddenite, NC",
"Winnabow, NC",
"Cedar Point, NC",1315
"Freeland, NC",
"Laurel Hill, NC",
"Lake Junaluska, NC",
"East Lake, NC",
"Granite Falls, NC",4685
"Earl, NC",259
"Mars Hill, NC",2197
"Gamewell, NC",3946
"Washington Park, NC",443
"Eden, NC",15376
"Mooresville, NC",36543
"Morrisville, NC",24732
"Ellenboro, NC",849
"High Point, NC",111223
"Hope Mills, NC",16227
"Tarboro, NC",10994
"Stanley, NC",3735
"Davis, NC",
"Star, NC",868
"Hildebran, NC",2006
"Macon, NC",114
"South Mills, NC",
"Madison, NC",2183
"Gaston, NC",1046
"Danbury, NC",186
"Saratoga, NC",406
"Walkertown, NC",5021
"Ranlo, NC",3625
"Lowland, NC",
"Spring Lake, NC",13168
"Saint Pauls, NC",2403
"Harrellsville, NC",104
"Huntersville, NC",54839
"Currie, NC",
"Faison, NC",979
"Seven Lakes, NC",
"Elizabethtown, NC",3544
"Knotts Island, NC",
"Red Cross, NC",736
"Spencer Mountain, NC",36
"Watha, NC",231
"Ronda, NC",413
"Midland, NC",3501
"Dallas, NC",4734
"Hertford, NC",2126
"Conetoe, NC",277
"Boonville, NC",1204
"Glen Raven, NC",
"Greenville, NC",91495
"Fairfield, NC",
"Jamesville, NC",464
"Momeyer, NC",221
"Polkton, NC",3444
"Dobbins Heights, NC",822
"Ruth, NC",426
"Lowgap, NC",
"Ayden, NC",5191
"Richfield, NC",606
"Moravian Falls, NC",
"Maiden, NC",3392
"Royal Pines, NC",
"Asheville, NC",89121
"Ocean Isle Beach, NC",614
"Marble, NC",
"Swepsonville, NC",1335
"Oakboro, NC",1864
"East Spencer, NC",1560
"Como, NC",88
"Casar, NC",296
"Macclesfield, NC",445
"Biltmore Forest, NC",1462
"Maple Hill, NC",
"East Laurinburg, NC",286
"Patterson Springs, NC",605
"Norwood, NC",2398
"Trenton, NC",284
"Willard, NC",
"Corolla, NC",
"Marshville, NC",2655
"Sawmills, NC",5107
"Franklin, NC",3993
"Bayview, NC",
"Wrightsville Beach, NC",2560
"Etowah, NC",
"Greensboro, NC",287027
"Morven, NC",460
"Rougemont, NC",
"Bostic, NC",375
"Holden Beach, NC",644
"Roberta Mill, NC",
"Millers Creek, NC",
"Everetts, NC",158
"Bennett, NC",
"Navassa, NC",1785
"Silver City, NC",
"Falkland, NC",98
"Westport, NC",
"Pleasant Garden, NC",4789
"Florence, NC",
"Townsville, NC",
"Morehead City, NC",9402
"Apex, NC",47349
"Hudson, NC",3725
"Kernersville, NC",24066
"Vandemere, NC",244
"Rockingham, NC",9080
"Pittsboro, NC",4266
"Cruso, NC",
"Ahoskie, NC",4980
"Gatesville, NC",305
"Lake Lure, NC",1180
"Kings Mountain, NC",10797
"Shawboro, NC",
"Garland, NC",622
"Buie, NC",
"Pinetown, NC",
"Lewisville, NC",13710
"Mulberry, NC",
"Mineral Springs, NC",2945
"Atlantic, NC",
"Andrews, NC",1798
"Oak Island, NC",7722
"Arapahoe, NC",535
"Bunnlevel, NC",
"Jacksonville, NC",67784
"Midway Park, NC",
"Milton, NC",159
"Siler City, NC",8444
"Advance, NC",
"Carrboro, NC",21265
"Wilmington, NC",117525
"Hillsdale, NC",
"Surf City, NC",2274
"Plymouth, NC",3594
"Longwood, NC",
"Grandfather, NC",25
"Proctorville, NC",120
"Simpson, NC",476
"Dover, NC",397
"Prospect, NC",
"Mocksville, NC",5266
"Rosman, NC",587
"Elkin, NC",4106
"Mar-Mac, NC",
"Hayesville, NC",377
"Kure Beach, NC",2109
"Kelford, NC",230
"High Rock, NC",
"Balsam, NC",
"Bear Grass, NC",70
"Colon, NC",
"Lincolnton, NC",10754
"Keener, NC",
"Bethania, NC",350
"Bessemer City, NC",5548
"Warsaw, NC",3151
"Frontier, ND",208
"Pisek, ND",104
"Leal, ND",19
"Cooperstown, ND",928
"Selz, ND",
"Lark, ND",
"Antler, ND",27
"Mooreton, ND",194
"Dodge, ND",101
"New Rockford, ND",1390
"Walum, ND",
"Buford, ND",
"Burt, ND",
"Lansford, ND",249
"Saint Thomas, ND",316
"Hampden, ND",47
"Roseglen, ND",
"Scranton, ND",284
"Noonan, ND",125
"Calvin, ND",19
"Emerado, ND",428
"Cando, ND",1116
"Galesburg, ND",106
"Wellsburg, ND",
"Knox, ND",25
"Dickey, ND",41
"Gascoyne, ND",16
"Oakes, ND",1781
"Kathryn, ND",50
"Manning, ND",
"Briarwood, ND",75
"Powers Lake, ND",293
"Gilby, ND",231
"Wilton, ND",727
"Lakota, ND",644
"Minot, ND",48743
"Streeter, ND",166
"Arnegard, ND",153
"Tolley, ND",47
"Brooktree Park, ND",
"Flaxton, ND",69
"Amidon, ND",21
"Grassy Butte, ND",
"Hamilton, ND",59
"Butte, ND",78
"Barlow, ND",
"Porcupine, ND",
"Ruso, ND",4
"Arthur, ND",363
"Sykeston, ND",113
"Ruthville, ND",
"Verona, ND",86
"Blanchard, ND",
"McLeod, ND",
"Strasburg, ND",385
"Southam, ND",
"Almont, ND",123
"Baldwin, ND",
"Bottineau, ND",2284
"Forest River, ND",123
"Makoti, ND",148
"Harvey, ND",1743
"Cannon Ball, ND",
"Wales, ND",29
"New Salem, ND",922
"Mandaree, ND",
"Columbus, ND",147
"Fairdale, ND",37
"Denhoff, ND",
"Guthrie, ND",
"Hurdsfield, ND",81
"Northwood, ND",917
"Bismarck, ND",72417
"Pingree, ND",59
"Carrington, ND",2043
"York, ND",23
"Christine, ND",157
"Olga, ND",
"Cogswell, ND",97
"Nash, ND",
"Mekinock, ND",
"Fredonia, ND",44
"Steele, ND",709
"Hannaford, ND",123
"Forbes, ND",53
"Alsen, ND",33
"Hankinson, ND",899
"Donnybrook, ND",54
"Turtle Lake, ND",585
"Sharon, ND",95
"Hettinger, ND",1226
"Regent, ND",169
"Hensler, ND",
"Balfour, ND",27
"Manvel, ND",375
"Calio, ND",21
"Buxton, ND",316
"Thompson, ND",1011
"Mandan, ND",21769
"Loraine, ND",9
"Oberon, ND",104
"Hamberg, ND",20
"Underwood, ND",771
"Gardner, ND",75
"White Earth, ND",90
"Karlsruhe, ND",91
"Minnewaukan, ND",224
"Forman, ND",528
"Brinsmade, ND",35
"Juanita, ND",
"Nortonville, ND",
"McVille, ND",336
"Fort Yates, ND",210
"Anamoose, ND",253
"Pillsbury, ND",12
"Kintyre, ND",
"Logan, ND",
"Hague, ND",66
"Barney, ND",51
"Fingal, ND",94
"Heimdal, ND",
"Enderlin, ND",868
"Perth, ND",9
"Munich, ND",202
"Warwick, ND",66
"Ayr, ND",17
"Tioga, ND",1547
"Walhalla, ND",950
"Esmond, ND",99
"Larimore, ND",1304
"Dore, ND",
"Kenmare, ND",1059
"New Hradec, ND",
"Litchville, ND",168
"Loma, ND",15
"Ashley, ND",699
"Pick City, ND",136
"Rogers, ND",44
"Edinburg, ND",189
"Bathgate, ND",41
"Mohall, ND",799
"Webster, ND",
"Woodworth, ND",49
"Dwight, ND",80
"Sentinel Butte, ND",64
"Bowdon, ND",130
"Falkirk, ND",
"Montpelier, ND",85
"Stanley, ND",2686
"Englevale, ND",
"Ray, ND",796
"Larson, ND",
"Chaffee, ND",
"Burnstad, ND",
"East Dunseith, ND",
"De Lamere, ND",
"Petersburg, ND",180
"Granville, ND",273
"Jamestown, ND",15440
"Sarles, ND",27
"Ross, ND",110
"Watford City, ND",6390
"Maxbass, ND",85
"Upham, ND",145
"Michigan, ND",
"Eckman, ND",
"Kindred, ND",755
"Heil, ND",
"Washburn, ND",1303
"Deering, ND",119
"Edmore, ND",176
"Napoleon, ND",787
"Moffit, ND",
"Erie, ND",
"Plaza, ND",199
"Bowesmont, ND",
"Tagus, ND",
"Westfield, ND",
"Buffalo, ND",191
"Halliday, ND",205
"Spiritwood, ND",
"Brampton, ND",
"Berthold, ND",495
"Reeder, ND",158
"Langdon, ND",1780
"Cathay, ND",42
"Souris, ND",59
"Binford, ND",172
"Wildrose, ND",132
"Newburg, ND",113
"Martin, ND",77
"Overly, ND",18
"Westhope, ND",419
"Dickinson, ND",22993
"Balta, ND",63
"New England, ND",633
"Voss, ND",
"Medina, ND",302
"Raub, ND",
"Venturia, ND",12
"Alexander, ND",303
"Fortuna, ND",22
"Palermo, ND",84
"Lincoln, ND",3683
"Rolette, ND",611
"Casselton, ND",2513
"Foxholm, ND",
"Lawton, ND",29
"East Fairview, ND",
"Surrey, ND",1365
"Dunn Center, ND",186
"Fort Totten, ND",
"Fryburg, ND",
"Kramer, ND",29
"Carbury, ND",
"Auburn, ND",
"Burlington, ND",1191
"Richardton, ND",543
"Bergen, ND",7
"Sydney, ND",
"Reiles Acres, ND",594
"Orrin, ND",
"Fessenden, ND",464
"Fort Ransom, ND",77
"Dunseith, ND",799
"Abercrombie, ND",259
"New Town, ND",2528
"Cayuga, ND",26
"Grafton, ND",4245
"Rhame, ND",175
"Caledonia, ND",
"Rugby, ND",2815
"Argusville, ND",474
"Des Lacs, ND",199
"Ryder, ND",80
"Starkweather, ND",115
"Trenton, ND",
"Bisbee, ND",128
"LaMoure, ND",909
"Landa, ND",38
"Lisbon, ND",2124
"Robinson, ND",37
"Sibley, ND",30
"Colfax, ND",145
"Ypsilanti, ND",
"Bonetraill, ND",
"Hoople, ND",233
"Eldridge, ND",
"Kief, ND",14
"Tappen, ND",201
"Tolna, ND",157
"Regan, ND",44
"Coleharbor, ND",85
"Menoken, ND",
"Bantry, ND",15
"Beulah, ND",3376
"Grandin, ND",174
"Havana, ND",71
"Golden Valley, ND",178
"Niobe, ND",
"Crystal, ND",131
"Osnabrock, ND",125
"Gladstone, ND",357
"Keene, ND",
"Nekoma, ND",49
"Buchanan, ND",111
"Haynes, ND",22
"Marion, ND",133
"Hansboro, ND",12
"Clifford, ND",43
"Carpio, ND",148
"Cavalier, ND",1241
"Nome, ND",60
"Driscoll, ND",
"Mylo, ND",20
"Grand Forks, ND",57339
"Chaseley, ND",
"Grano, ND",7
"Valley City, ND",6566
"Pettibone, ND",69
"Amenia, ND",96
"Kensal, ND",159
"Berlin, ND",35
"Leeds, ND",447
"Gardar, ND",
"Lehr, ND",77
"Harlow, ND",
"Sterling, ND",
"Glenfield, ND",89
"Churchs Ferry, ND",12
"Judson, ND",
"Selfridge, ND",176
"Bowbells, ND",359
"Sheyenne, ND",198
"Gackle, ND",291
"Spring Brook, ND",34
"Rolla, ND",1325
"Leith, ND",16
"Dawson, ND",61
"Zap, ND",242
"Parshall, ND",1253
"Fullerton, ND",52
"Sherwood, ND",249
"Killdeer, ND",1173
"Clyde, ND",
"Harwood, ND",807
"Solen, ND",89
"Medora, ND",132
"Portal, ND",150
"Lignite, ND",240
"Belcourt, ND",
"Golva, ND",70
"Simcoe, ND",
"Lostwood, ND",
"Center, ND",563
"Glen Ullin, ND",741
"Embden, ND",
"Maddock, ND",380
"Hickson, ND",
"Velva, ND",1265
"Douglas, ND",61
"Flasher, ND",215
"Rutland, ND",159
"Lidgerwood, ND",628
"Davenport, ND",257
"Grenora, ND",294
"Elgin, ND",634
"Goodrich, ND",97
"Conway, ND",22
"Marshall, ND",
"South Heart, ND",423
"Niagara, ND",51
"Cleveland, ND",81
"Mercer, ND",97
"Four Bears Village, ND",
"Benedict, ND",74
"Coulee, ND",
"Hensel, ND",
"Ardoch, ND",66
"Elliott, ND",25
"Beach, ND",1094
"Hope, ND",265
"Gwinner, ND",853
"Great Bend, ND",58
"Hunter, ND",260
"Prairie Rose, ND",72
"Tower City, ND",258
"Lefor, ND",
"White Shield, ND",
"Williston, ND",26426
"Mapleton, ND",946
"Leroy, ND",
"Raleigh, ND",
"Garrison, ND",1532
"Wolford, ND",35
"Hannah, ND",14
"Wheatland, ND",
"Max, ND",354
"Portland, ND",593
"Sheldon, ND",123
"Mountain, ND",85
"Stanton, ND",361
"Shell Valley, ND",
"Saint John, ND",361
"Neche, ND",358
"Leonard, ND",228
"Wing, ND",155
"Luverne, ND",31
"West Fargo, ND",34858
"Harmon, ND",
"Breien, ND",
"Bowman, ND",1713
"Voltaire, ND",42
"Alice, ND",40
"Drake, ND",288
"Sawyer, ND",338
"Alamo, ND",68
"Hatton, ND",765
"Lucca, ND",
"Inkster, ND",48
"Akra, ND",
"Cartwright, ND",
"Egeland, ND",28
"Ludden, ND",22
"Lakewood Park, ND",
"Aneta, ND",207
"Pembina, ND",563
"Alfred, ND",
"McHenry, ND",55
"Fargo, ND",120762
"Zeeland, ND",81
